,20_categories of 2 act_relu,20_categories of 2 baseline,20_categories of 2 bn_no,20_categories of 2 dropout_025,20_categories of 2 dropout_075,20_categories of 2 dropout_0,20_categories of 2 ds_11_31,20_categories of 2 filters_128,20_categories of 2 filters_32,20_categories of 2 filter_3_3,20_categories of 2 filter_7_3,20_categories of 2 layers_2,20_categories of 2 layers_4,20_categories of 2 maxpool_2_2,20_categories of 3 Three_cates,60_categories of 2 baseline
2015-09-30,4.565609293641408,4.513155577769034,7.57519889228567,5.00616039358618,16.59167335257339,6.169296818295149,4.833407440616821,7.6269405259562975,10.136066783042398,9.430585324652418,8.8846678153896,6.124706761323296,5.503423878969962,8.590621308538898,4.166077865243167,5.669636599921517
2015-10-30,4.616638590623153,4.5629728528163565,7.671065737071333,5.059115277660893,16.82767645975556,6.219876950280233,4.91214561084098,7.7273178537808676,10.13639895030295,9.585244567704803,8.995513163035863,6.17852416866059,5.609003783002575,8.672088732408774,4.20694081269201,
2015-11-30,4.493455081773721,4.436421216954807,7.431076889354393,4.929959898764955,16.17375837748319,6.073462605483034,4.807327232540256,7.549955197104375,9.955462689148252,9.37061130976208,8.82637786543509,5.998748170796619,5.494464038901269,8.518822851549492,4.097936505450754,5.043740727621257
2015-12-31,4.141514857803799,4.0912875154802,6.931342110667001,4.561555239023881,15.128701467821625,5.652405634662578,4.433386561477549,7.026762825924124,9.177971561385831,8.700363909648337,8.202063524030653,5.575658460202228,5.078308936675781,7.911676996503367,3.770695468427044,
2016-01-29,4.16976301156109,4.1172190835701015,7.017184725346683,4.608937188623611,15.3749127293487,5.690875760857522,4.443426739360552,7.0222014861906485,9.21512237495108,8.87739390050124,8.259643623199207,5.633932753054665,5.097593965207733,7.932886720962494,3.795269674327316,5.843575597672093
2016-02-29,4.483722336626431,4.426103174780503,7.52669029565394,4.956656048503966,16.455419793975704,6.140570786580253,4.780836722156125,7.587489912339175,10.014995515487536,9.59083621426332,8.838790745388572,6.048476654140122,5.5005485845155535,8.516002921262881,4.074426979348174,
2016-03-31,4.65233891110023,4.592495236115759,7.729095544345744,5.129782539473895,17.199641397327415,6.363369627723283,4.925629356073607,7.8186408865642,10.360502282639477,9.933446346738284,9.131013347496015,6.270865189166457,5.685618696754048,8.794198517012047,4.241573744974092,5.93274169517379
2016-04-29,4.670616169708098,4.605875481642867,7.791493505647771,5.154472483420896,17.46012897124642,6.419519181682641,4.942220756266386,7.877012462727226,10.479759193336829,9.977268419355994,9.22381532179578,6.3079161740680165,5.699708195799117,8.884808416029928,4.248781743696273,
2016-05-31,4.583656667930964,4.515521432214718,7.637031280199702,5.048830592670393,17.714029357038957,6.332144144742136,4.788114847585415,7.759226036383593,10.27483999399365,9.85212792228934,9.191817528708713,6.237758835138334,5.54397597373294,8.727645328487034,4.158865217983219,6.377177794352964
2016-06-30,4.840501756319273,4.765570298270503,8.121013801613369,5.310353379986867,19.744757716587685,6.691836980711155,5.101161133672778,8.157593904342423,11.334540410909934,10.492753096773669,9.82999404534566,6.619164573010381,5.926716896296764,9.16938979773394,4.3821481256967605,
